מספר מתקן,שם מתקן,מספר צרכן בעל המתקן,שם צרכן בעל המתקן,בעלות המתקן,סטאטוס,קבוצת מים,אקוויפר,ספיקה שעתית מקסימלית,מספר הפקה,מספר ארצי,אזור הפקה,אזור חקלאי,אזור גיאוגרפי,אזור אדמיניסטרטיבי,אזור תכנון
229310,פ קלנסואה אסכנדר ג,123,אסכנדר ברברה,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,16208,16126162,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229312,פ בית העמק עמקה 3,127,בית-העמק קבוץ,צרכן פרטי,פעיל,קידוח שפיר טורון,קנומן - טורון,,11575,16426348,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229319,פ כברי החוגים,141,כברי קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר טורון,קנומן - טורון,,16444,16226940,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229322,פ המכון לוחמי הגטאות,143,לוחמי הגיטאות קבוץ,צרכן פרטי,לא פעיל,קידוח מליח פליסטוקן,פליו-פליסטוקן מילוי,293.00,11281,15926326,,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229323,פ לוחמי הגיטאות דרור,143,לוחמי הגיטאות קבוץ,צרכן פרטי,פעיל,קידוח מליח נאוגן,פליו-פליסטוקן מילוי,,11776,16025224,,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229324,מעונות ברזיל בע"מ,144,מעונות ברזיל בע"מ,צרכן פרטי,לא פעיל,קידוח מליח טורון,ניאוגן - מילוי,,16524,15826388,,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229326,פ סער המכון קבוץ,149,סער קבוץ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,250.00,11283,16027042,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229327,פ עברון קבוץ ג,151,עברון קבוץ,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,130.00,11421,15926646,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229328,פ עברון קבוץ א,151,עברון קבוץ,צרכן פרטי,פעיל,קידוח שפיר פל' השקייה באיכות נחותה,פליו-פליסטוקן מילוי,140.00,16215,16026720,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229330,פ רגבה מושב ב,159,מי רגבה אגודה שיתופית לאספקת מים,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11282,15926442,,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229331,פ רגבה מושב א,159,מי רגבה אגודה שיתופית לאספקת מים,צרכן פרטי,פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11501,15926448,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229333,פ שמרת המכון,162,שמרת קבוץ,צרכן פרטי,לא פעיל,קידוח שפיר פליסטוקן,פליו-פליסטוקן מילוי,,11352,15926128,מערכת ארצית,הצפון,גליל מערבי,מטה אשר מ.א,גליל מערבי
229336,פ ג עין חרוד א 9,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,340.00,10363,18621788,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229337,פ עין חרוד עמוקה ד11,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח שפיר נאוגן,איאוקן,,10364,18621648,מנותק,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229338,פ ג חרוד חפציבה ב 13,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח אאוקן,קנומן - טורון,60.00,10368,18921440,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229339,פ ג חרוד חפציבה א 6,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח אאוקן,קנומן תחתון,,10369,19021306,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229340,פ בית השיטה ב 8,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,,10373,19121700,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229341,פ בית אלפא א 16,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח אאוקן,קנומן - טורון,,10387,19021344,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229342,פ בית אלפא ג 25,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,פעיל,קידוח מליח אאוקן,איאוקן,400.00,11179,19021380,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
229343,פ גבע ג 31,169,אגודת המים השת' בעמק חרוד,צרכן פרטי,לא פעיל,קידוח מליח נאוגן,ניאוגן - בזלת,70.00,11309,18521826,,העמקים,עמק חרוד,הגלבוע מ.א,ירדן תחתון
